,ADJ,ADV,AP,C,CONJ,D,INTJ,N,NEG,NUM,PART,PRO,PRO$,Q,TO,VB,WH
ADJ,6666.8,71.2,6.2,0.0,0.0,1.7999999999999998,0.2,389.79999999999995,0.0,3.4000000000000004,0.0,0.0,1.6,7.199999999999999,0.0,186.6,0.6000000000000001
ADV,87.39999999999999,10016.2,151.6,0.6000000000000001,3.8,75.0,0.4,71.6,1.2,1.0,3.8000000000000003,2.6,0.2,4.0,8.4,88.2,4.0
AP,14.4,139.0,15057.8,6.0,1.4,20.8,0.0,13.0,0.0,17.599999999999998,33.599999999999994,0.4,0.2,1.4,45.4,23.4,0.8
C,0.4,1.0,15.4,4593.0,0.6000000000000001,109.60000000000002,0.0,0.8,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.6000000000000001,0.2
CONJ,1.5999999999999999,8.600000000000001,5.4,7.6,10207.8,2.2,0.6,1.6,15.4,0.2,0.0,13.799999999999999,0.0,3.0,0.0,3.4000000000000004,1.4
D,6.2,83.8,22.0,137.60000000000002,0.0,11840.2,0.0,5.6,0.0,0.4,0.0,7.2,0.4,0.6000000000000001,0.0,2.4,0.0
INTJ,0.2,0.6000000000000001,0.0,0.0,1.8,0.0,121.6,2.4000000000000004,0.0,0.0,0.0,0.2,0.0,0.2,0.0,1.8,0.0
N,285.2,29.6,3.6000000000000005,0.2,0.6000000000000001,5.2,0.4,30968.4,0.0,8.4,1.2000000000000002,4.8,1.6,10.399999999999999,0.2,386.20000000000005,0.2
NEG,0.0,0.4,0.0,0.0,9.6,0.0,0.0,0.0,1198.6000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0
NUM,12.600000000000001,0.8,5.199999999999999,0.0,0.2,0.6000000000000001,0.2,26.0,0.0,1442.6,1.2000000000000002,0.0,0.6000000000000001,0.8,0.0,4.2,0.0
PART,0.4,3.8,67.0,0.0,0.2,0.0,0.0,1.9999999999999998,0.0,2.8,534.8000000000001,0.0,0.0,0.2,5.4,2.8,0.0
PRO,0.8,5.0,0.2,43.0,8.399999999999999,5.3999999999999995,0.2,3.8000000000000003,0.0,0.0,0.0,12588.6,46.0,0.4,0.0,3.4,0.6000000000000001
PRO$,7.0,0.2,0.0,0.2,0.0,0.0,0.0,5.6000000000000005,0.0,0.0,0.0,19.0,3540.5999999999995,1.4,0.0,4.199999999999999,0.2
Q,25.4,4.6,2.8000000000000003,0.0,2.6,0.4,0.0,27.599999999999998,0.0,0.6000000000000001,0.0,1.0,0.4,3517.0,0.0,14.0,17.0
TO,0.0,0.2,21.800000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,319.2,0.0,0.0
VB,187.39999999999998,30.6,11.4,0.0,0.6000000000000001,7.199999999999999,0.2,378.2,0.0,1.4000000000000001,0.4,2.0,1.0,2.5999999999999996,0.0,26192.8,0.0
WH,3.1999999999999997,2.6,0.6000000000000001,0.0,0.2,0.0,0.4,4.2,0.0,0.0,0.0,0.2,0.0,11.8,0.0,2.8,807.2
