,ADJ,ADJOS,ADJS,ADV,AP,C,CARDS,CONJ,D,INTJ,KOKOM,N,NEG,NUM,PART,PRO,TO,VB,WH
ADJ,334.0,1.4000000000000001,8.399999999999999,14.799999999999999,0.2,0.0,0.0,0.0,10.2,0.4,0.0,123.0,0.0,0.6000000000000001,0.4,0.0,0.2,95.2,0.4
ADJOS,6.0,2.6000000000000005,1.2000000000000002,0.0,0.0,0.0,0.0,0.0,2.2,0.0,0.0,4.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ADJS,37.6,0.0,27.8,4.6,0.0,0.0,0.0,0.0,2.6,0.0,0.0,50.0,0.0,0.2,0.0,0.2,0.0,19.8,0.2
ADV,30.200000000000003,0.0,2.8000000000000003,1139.4,5.3999999999999995,23.599999999999998,0.2,19.2,10.599999999999998,0.6000000000000001,0.6000000000000001,41.4,6.200000000000001,0.0,12.399999999999999,13.399999999999999,0.4,66.8,3.4000000000000004
AP,1.0,0.0,0.0,6.8,918.1999999999999,4.0,0.0,0.8,1.2000000000000002,0.0,0.0,2.6,1.0,0.2,11.200000000000001,13.600000000000001,18.799999999999997,4.6,0.0
C,0.8,0.0,0.0,31.599999999999998,1.8,378.0,0.0,11.200000000000001,27.6,0.0,1.0,2.0000000000000004,1.8000000000000003,0.2,0.2,3.6,0.0,6.6,1.8000000000000003
CARDS,3.4,0.0,0.6000000000000001,0.4,0.2,0.0,3.4000000000000004,0.6000000000000001,2.4,0.0,0.0,6.6000000000000005,0.0,5.4,0.2,0.0,0.0,2.0,0.0
CONJ,1.2000000000000002,0.0,0.0,20.400000000000002,0.8,10.8,0.0,626.4,1.2,0.4,0.0,1.2,0.2,0.0,0.4,0.8,0.0,2.2,0.2
D,34.0,0.4,0.6000000000000001,10.200000000000001,0.2,29.4,1.0,0.6000000000000001,2023.6,0.0,0.0,33.800000000000004,0.0,2.2,0.2,23.4,0.0,25.0,0.0
INTJ,1.0,0.0,0.2,0.2,0.0,0.0,0.0,0.2,0.4,14.0,0.0,1.0,0.0,0.4,0.2,0.0,0.0,2.6,0.6000000000000001
KOKOM,0.6000000000000001,0.0,0.0,14.0,0.2,5.4,0.0,0.6000000000000001,0.8,0.0,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0
N,67.8,0.0,7.0,12.8,0.6000000000000001,0.0,0.2,1.2,5.0,0.2,0.0,2314.4,0.0,0.0,0.2,6.199999999999999,0.0,204.8,0.0
NEG,0.2,0.0,0.0,2.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,249.6,0.0,0.0,0.0,0.0,0.0,0.0
NUM,9.8,0.0,0.0,1.0,0.4,0.0,1.0,0.0,6.8,0.2,0.0,3.2,0.0,21.400000000000002,0.4,0.2,0.0,3.0,0.0
PART,1.2000000000000002,0.0,0.6,8.2,19.4,0.4,0.2,0.0,1.4,0.0,0.0,1.4,0.6,0.0,84.19999999999999,5.2,0.6000000000000001,3.0000000000000004,0.0
PRO,2.0,0.0,0.0,6.200000000000001,17.6,0.6000000000000001,0.0,0.0,34.400000000000006,0.0,0.0,15.399999999999999,0.0,0.0,1.0,1859.4,0.0,28.8,1.7999999999999998
TO,0.0,0.0,0.0,0.0,12.8,0.0,0.0,0.0,0.2,0.0,0.0,0.2,0.0,0.0,0.0,0.2,24.800000000000004,0.2,0.0
VB,63.19999999999999,0.0,2.8,13.399999999999999,0.2,1.2,0.0,0.4,7.3999999999999995,0.0,0.0,229.6,0.0,0.2,0.2,18.0,0.0,2960.8,1.4000000000000001
WH,3.1999999999999997,0.0,0.2,13.6,0.0,1.7999999999999998,0.0,0.0,0.4,0.2,0.0,4.6000000000000005,0.0,0.0,0.0,1.0,0.0,11.200000000000001,86.8
