,ADJ,ADV,ALSO,AP,C,CONJ,D,INTJ,N,NEG,NUM,PART,PRO,PRO$,Q,TO,VB,WH
ADJ,235.60000000000002,1.2000000000000002,0.0,0.0,0.4,0.0,0.0,0.0,36.4,0.0,0.2,0.0,0.0,0.0,0.0,0.0,26.4,0.0
ADV,5.6,412.8,0.0,2.4,3.6,0.0,0.0,0.0,5.2,0.0,0.0,0.0,1.4000000000000001,0.0,2.0,0.0,10.000000000000002,0.2
ALSO,0.0,0.0,9.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.2,0.0
AP,0.6000000000000001,1.7999999999999998,0.0,375.6,0.0,0.0,0.2,0.0,1.5999999999999999,0.0,0.4,0.2,0.0,0.0,0.2,0.2,1.6,0.0
C,0.0,5.000000000000001,0.0,0.0,122.4,0.8,5.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6000000000000001,0.2
CONJ,0.0,0.0,0.0,0.0,0.0,107.2,0.2,0.0,0.2,2.8000000000000003,0.2,0.0,0.2,0.0,0.2,0.0,0.4,0.0
D,1.2,0.8,0.0,0.0,2.8,0.0,348.6,0.0,1.0,0.0,0.0,0.0,1.6,0.0,0.0,0.0,0.4,0.2
INTJ,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0
N,30.0,0.6000000000000001,0.0,0.0,0.0,0.6000000000000001,0.0,0.0,1078.0,0.0,0.4,0.0,0.0,0.0,0.4,0.0,47.0,0.0
NEG,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,59.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NUM,1.0,0.4,0.0,0.0,0.0,0.0,0.2,0.0,4.0,0.0,17.2,0.0,0.0,0.0,0.2,0.0,1.2,0.0
PART,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,1.5999999999999999,0.0,0.0,0.0,0.0,0.4,0.0
PRO,0.2,0.2,0.0,0.0,0.0,0.0,0.2,0.0,0.2,0.0,0.0,0.0,435.40000000000003,4.4,0.0,0.0,2.4000000000000004,0.0
PRO$,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5999999999999999,0.0,0.0,0.0,1.6,146.4,0.0,0.0,1.2000000000000002,0.0
Q,1.4,1.6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,74.80000000000001,0.0,2.0,0.0
TO,0.0,0.0,0.0,4.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2000000000000002,0.0,0.0
VB,18.0,1.0,0.0,0.2,0.0,0.0,0.0,0.0,32.6,0.0,0.0,0.0,2.1999999999999997,1.0,0.2,0.0,802.0,0.2
WH,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.4,0.0,0.0,0.0,0.4,0.0,2.4000000000000004,46.4
